,acc,,,,,,,,,,
0,"[0.96624224 0.91756218 0.86726363 0.80924913 0.76195145 0.73575734
 0.75004586 0.75784198 0.80625655]",,,,,,,,,,
,,,,,,,,,,,
,,mixLSTM,1,2,3,4,5,6,7,8,9
,,,0.9662,0.9175,0.8672,0.8092,0.7619,0.7357,0.75,0.7578,0.8062
,,,,,,,,,,,
,,cnnLSTM,1,2,3,4,5,6,7,8,9
,,,0.9653,0.9177,0.8646,0.8053,0.7591,0.7347,0.7443,0.7578,0.8056
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Prior,Proposed,,,,
,,,,,1,0.9662,0.9653,0.0009,,,
,,,,,2,0.9175,0.9177,-0.0002,,,
,,,,,3,0.8672,0.8646,0.0026,,,
,,,,,4,0.8092,0.8053,0.0039,,,
,,,,,5,0.7619,0.7591,0.0028,,,
,,,,,6,0.7357,0.7347,0.001,,,
,,,,,7,0.75,0.7443,0.0057,,,
,,,,,8,0.7578,0.7578,0,,,
,,,,,9,0.8062,0.8056,0.0006,,,
,,,,,avg,0.819077778,0.817155556,0.001922222,,,
